[[0, 50, 56193.0163], [1, 29950, 70776.345], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476], [7, 209350, 71713.476], [8, 239250, 71713.476], [9, 269150, 71713.476], [10, 299050, 71713.476], [11, 328950, 71713.476], [12, 358850, 71713.476], [13, 388750, 71713.476], [14, 418650, 71713.476], [15, 448550, 71713.476], [16, 478450, 71713.476], [17, 508350, 71713.476], [18, 538250, 71713.476], [19, 568150, 71713.476], [20, 598050, 71713.476], [21, 627950, 71713.476], [22, 657850, 71713.476], [23, 687750, 71713.476], [24, 717650, 71713.476], [25, 747550, 71713.476], [26, 777450, 71713.476], [27, 807350, 71713.476], [28, 837250, 71713.476], [29, 867150, 71713.476], [30, 897050, 71713.476], [31, 926950, 71713.476], [32, 956850, 71713.476], [33, 986750, 71713.476], [34, 1016650, 71713.476], [35, 1046550, 71713.476], [36, 1076450, 71713.476], [37, 1106350, 71713.476], [38, 1136250, 71713.476], [39, 1166150, 71713.476], [40, 1196050, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
[[0, 50, 71713.476], [1, 29950, 71713.476], [2, 59850, 71713.476], [3, 89750, 71713.476], [4, 119650, 71713.476], [5, 149550, 71713.476], [6, 179450, 71713.476]]
